No urut	Diagnosis/Daftar Penyakit SKDI 2012	Tingkat kompetensi
1	Spina bifida	2
2	Fenilketonuria	1
3	Duchene muscular dystrophy	1
4	Kejang demam	4A
5	Infeksi sitomegalovirus	2
6	Meningitis	3B
7	Ensefalitis	3B
8	Malaria serebral	3B
9	Tetanus	4A
10	Tetanus neonatorum	3B
11	Toksoplasmosis serebral	2
12	Abses otak	2
13	HIV AIDS tanpa komplikasi	4A
14	AIDS dengan komplikasi	3A
15	Hidrosefalus	2
16	Poliomielitis	3B
17	Rabies	3B
18	Spondilitis TB	3A
19	Tumor primer	2
20	Tumor sekunder	2
21	Ensefalopati	3B
22	Koma	3B
23	Mati batang otak	2
24	Tension headache	4A
25	Migren	4A
26	Arteritis kranial	1
27	Neuralgia trigeminal	3A
28	Cluster headache	3A
29	TIA	3B
30	Infark serebral	3B
31	Hematom intraserebral	3B
32	Perdarahan subarakhnoid	3B
33	Ensefalopati hipertensi	3B
34	Bells’ palsy	4A
35	Lesi batang otak	2
36	Meniere's disease	3A
37	Vertigo (Benign paroxysmal positional vertigo)	4A
38	Cerebral palsy	2
39	Demensia	3A
40	Penyakit Alzheimer	2
41	Parkinson	3A
42	Gangguan pergerakan lainnya Epilepsi dan Kejang Lainnya	1
43	Kejang	3B
44	Epilepsi	3A
45	Status epileptikus	3B
46	Sklerosis multipel	1
47	Amyotrophic lateral sclerosis (ALS)	1
48	Complete spinal transaction	3B
49	Sindrom kauda equine	2
50	Neurogenic bladder	3A
51	Siringomielia	2
52	Mielopati	2
53	Dorsal root syndrome	2
54	Acute medulla compression	3B
55	Radicular syndrome	3A
56	Hernia nucleus pulposus (HNP)	3A
57	Hematom epidural	2
58	Hematom subdural	2
59	Trauma Medula Spinalis	2
60	Reffered pain	3A
61	Nyeri neuropatik	3A
62	Sindrom Horner	2
63	Carpal tunnel syndrome	3A
64	Tarsal tunnel syndrome	3A
65	Neuropati	3A
66	Peroneal palsy	3A
67	Guillain Barre syndrome	3B
68	Miastenia gravis	3B
69	Polimiositis	1
70	Neurofibromatosis (Von Recklaing Hausen disease)	2
71	Amnesia pascatrauma	3A
72	Afasia	2
73	psikoaktif lainnya	3A
74	Intoksikasi akut zat psikoaktif	3B
75	Adiksi/ketergantungan Narkoba Delirium yang diinduksi oleh alkohol atau zat psikoaktif	3A
76	lainnya Psikosis (Skizofrenia, Gangguan Waham menetap, Psikosis Akut dan Skizoafektif)	3A
77	Skizofrenia	3A
78	Gangguan waham	3A
79	Gangguan psikotik	3A
80	Gangguan skizoafektif	3A
81	Gangguan bipolar, episode manik	3A
82	Gangguan bipolar, episode depresif	3A
83	Gangguan siklotimia	2
84	Depresi endogen, episode tunggal dan rekuran	2
85	Gangguan distimia (depresi neurosis)	2
86	Gangguan depresif yang tidak terklasifikasikan	2
87	Baby blues (post-partum depression) Somatoform	3A
88	Agorafobia dengan/tanpa panik	2
89	Fobia sosial	2
90	Fobia spesifik	2
91	Gangguan panik	3A
92	Gangguan cemas menyeluruh	3A
93	Gangguan campuran cemas depresi	3A
94	Gangguan obsesif-kompulsif	2
95	Reaksi terhadap stres yg berat, & gangguan penyesuaian	2
96	Post traumatic stress disorder	3A
97	Gangguan disosiasi (konversi)	2
98	Gangguan somatoform	4A
99	Trikotilomania	3A
100	Gangguan kepribadian	2
101	Gangguan identitas gender	2
102	Gangguan preferensi seksual Remaja	2
103	Gangguan perkembangan pervasif	2
104	Retardasi mental	3A
105	(termasuk autisme) 34	2
106	Anoreksia nervosa	2
107	Bulimia	2
108	Pica Tics	2
109	Gilles de la tourette syndrome	2
110	Chronic motor of vocal tics disorder	2
111	Transient tics disorder	3A
112	Functional encoperasis	2
113	Functional enuresis	2
114	Uncoordinated speech	2
115	Parafilia	2
116	Gangguan keinginan dan gairah seksual	3A
117	(ejakulasi dini) Sexual pain disorder (termasuk vaginismus,	3A
118	diparenia)	3A
119	Insomnia	4A
120	Hipersomnia	3A
121	Sleep-wake cycle disturbance	2
122	Nightmare	2
123	Benda asing di konjungtiva	4A
124	Konjungtivitis	4A
125	Pterigium	3A
126	Perdarahan subkonjungtiva	4A
127	Mata kering	4A
128	Blefaritis	4A
129	Hordeolum	4A
130	Chalazion	3A
131	Laserasi kelopak mata	3B
132	Entropion	2
133	Trikiasis	4A
134	Lagoftalmus	2
135	Epikantus	2
136	Ptosis	2
137	Retraksi kelopak mata	2
138	Xanthelasma	2
139	Dakrioadenitis	3A
140	Dakriosistitis	3A
141	Dakriostenosis	2
142	Laserasi duktus lakrimal	2
143	Skleritis	3A
144	Episkleritis	4A
145	Erosi	2
146	Benda asing di kornea	2
147	Luka bakar kornea	2
148	Keratitis	3A
149	Kerato-konjungtivitis sicca	2
150	Edema kornea	2
151	Keratokonus	2
152	Xerophtalmia	3A
153	Endoftalmitis	2
154	Mikroftalmos	2
155	Hifema	3A
156	Hipopion	3A
157	Perdarahan Vitreous	1
158	Iridosisklitis, iritis	3A
159	Tumor iris	2
160	Katarak	2
161	Afakia kongenital	2
162	Dislokasi lensa	2
163	Hipermetropia ringan	4A
164	Miopia ringan	4A
165	Astigmatism ringan	4A
166	Presbiopia	4A
167	Anisometropia pada dewasa	3A
168	Anisometropia pada anak	2
169	Ambliopia	2
170	Diplopia binokuler	2
171	Buta senja	4A
172	Skotoma	2
173	Hemianopia, bitemporal, and homonymous	2
174	Gangguan lapang pandang	2
175	Ablasio retina	2
176	Perdarahan retina, oklusi pembuluh darah retina	2
177	Degenerasi makula karena usia	2
178	Retinopati (diabetik, hipertensi, prematur)	2
179	Korioretinitis	1
180	Optic disc cupping	2
181	Edema papil	2
182	Atrofi optik	2
183	Neuropati optik	2
184	Neuritis optik	2
185	Glaukoma akut	3B
186	Glaukoma lainnya	3A
187	Tuli (kongenital, perseptif, konduktif)	2
188	Inflamasi pada aurikular	3A
189	Herpes zoster pada telinga	3A
190	Fistula pre-aurikular	3A
191	Labirintitis	2
192	Otitis eksterna	4A
193	Otitis media akut	4A
194	Otitis media serosa	3A
195	Otitis media kronik	3A
196	Mastoiditis	3A
197	Miringitis bullosa	3A
198	Benda asing	3A
199	Perforasi membran timpani	3A
200	Otosklerosis	3A
201	Timpanosklerosis	2
202	Kolesteatoma	1
203	Presbiakusis	3A
204	Serumen prop	4A
205	Mabuk perjalanan	4A
206	Trauma akustik akut	3A
207	Trauma aurikular	3B
208	Deviasi septum hidung	2
209	Furunkel pada hidung	4A
210	Rhinitis akut	4A
211	Rhinitis vasomotor	4A
212	Rhinitis alergika	4A
213	Rhinitis kronik	3A
214	Rhinitis medikamentosa	3A
215	Sinusitis	3A
216	Sinusitis frontal akut	2
217	Sinusitis maksilaris akut	2
218	Sinusitis kronik	3A
219	Benda asing	4A
220	Epistaksis	4A
221	Etmoiditis akut	1
222	Polip	2
223	Fistula dan kista brankial lateral dan medial	2
224	Higroma kistik	2
225	Tortikolis	3A
226	Influenza	4A
227	Pertusis	4A
228	Acute Respiratory distress syndrome (ARDS)	3B
229	SARS	3B
230	Flu burung Laring dan Faring	3B
231	Faringitis	4A
232	Tonsilitis	4A
233	Laringitis	4A
234	Hipertrofi adenoid	2
235	Abses peritonsilar	3A
236	Pseudo-croop acute epiglotitis	3A
237	Difteria (THT)	3B
238	Karsinoma laring	2
239	Karsinoma nasofaring Trakea	2
240	Trakeitis	2
241	Aspirasi	3B
242	Benda asing Paru	2
243	Asma bronkial	4A
244	Status asmatikus (asma akut berat)	3B
245	Bronkitis akut	4A
246	Bronkiolitis akut	3B
247	Bronkiektasis	3A
248	Displasia bronkopulmonar	1
249	Karsinoma paru	2
250	Pneumonia, bronkopneumonia	4A
251	Pneumonia aspirasi	3B
252	Tuberkulosis paru tanpa komplikasi	4A
253	Tuberkulosis dengan HIV	3A
254	Multi Drug Resistance (MDR) TB	2
255	Pneumothorax ventil	3A
256	Pneumothorax	3A
257	Efusi pleura	2
258	Efusi pleura masif	3B
259	Emfisema paru	3A
260	Atelektasis	2
